field_id,crop,mae,rmse,corr,bias,skill_score
CA_153170,3,1.01,1.18,-0.47,0.72,0.77
CA_153285,3,1.05,1.28,-0.07,0.49,0.86
CA_153430,61,0.61,0.69,-0.57,-0.16,0.93
CA_154042,3,1.39,1.63,-0.36,0.68,0.54
CA_154135,67,1.33,1.57,0.79,-1.29,-0.04
CA_154810,67,1.34,1.52,0.09,1.33,-2.51
CA_155363,76,0.98,1.23,-0.58,-0.18,0.48
CA_155560,211,0.69,0.86,-0.13,0.29,0.35
CA_155889,76,1.19,1.76,-0.12,0.64,0.13
CA_156542,47,1.1,1.43,-0.16,0.96,-0.78
CA_157076,69,0.44,0.63,0.1,0.34,0.68
CA_157772,69,0.74,0.89,0.02,0.65,0.62
CA_158327,69,1.06,1.34,0.01,0.91,-0.35
CA_159621,69,0.56,0.66,-0.13,-0.3,0.55
CA_160028,69,0.61,0.8,0.07,-0.44,0.16
CA_160120,69,0.54,0.66,-0.21,-0.29,0.75
CA_160350,69,1.05,1.15,0.1,1.05,-0.31
CA_160405,69,0.64,0.77,0.22,0.57,-0.85
CA_16061,61,1.8,1.89,-0.07,-1.8,0.31
CA_161125,69,0.61,0.77,0.02,0.51,-0.57
CA_163993,69,0.37,0.45,-0.53,-0.07,0.89
CA_165275,176,0.9,1.1,0.49,-0.47,0.09
CA_165479,176,0.99,1.25,-0.03,-0.91,-1.57
CA_165541,176,0.49,0.6,0.21,0.11,0.77
CA_16602,69,0.51,0.72,-0.22,0.2,0.7
CA_166317,176,0.76,1.0,0.07,0.64,-0.62
CA_166718,69,0.65,0.77,-0.14,0.27,0.25
CA_166979,69,0.57,0.71,0.56,0.54,0.24
CA_167092,69,0.58,0.71,-0.31,0.23,0.05
CA_167160,69,1.25,1.42,-0.61,-1.21,0.66
CA_168467,69,1.38,1.47,0.31,-1.38,-0.9
CA_16847,69,0.41,0.51,0.44,-0.15,0.79
CA_169006,69,0.91,1.1,-0.59,0.09,-0.22
CA_169486,69,0.99,1.03,0.49,0.99,0.51
CA_170091,69,0.66,0.78,0.71,0.35,0.49
CA_17091,47,0.26,0.36,0.19,0.18,0.98
CA_171395,69,0.88,1.05,-0.62,0.59,-2.39
CA_171957,69,0.75,0.86,-0.16,0.39,0.31
CA_172607,69,0.57,0.69,0.64,0.5,-0.07
CA_173176,47,0.93,1.1,0.2,0.78,-0.68
CA_17368,69,0.37,0.44,0.22,0.28,0.95
CA_174086,176,1.2,1.29,0.45,1.2,0.66
CA_174849,176,0.85,1.03,-0.03,0.15,0.51
CA_176041,69,1.72,1.85,0.03,1.61,-5.06
CA_176246,69,1.06,1.18,0.1,0.95,-0.62
CA_176261,69,0.7,0.84,-0.27,0.47,0.27
CA_17644,69,0.41,0.48,0.15,-0.06,0.97
CA_177425,75,0.77,0.94,0.11,0.77,-2.21
CA_177775,69,0.5,0.61,0.53,0.15,0.9
CA_178248,69,0.34,0.43,0.42,0.24,0.95
CA_178552,69,0.49,0.62,-0.01,-0.02,0.01
CA_178583,69,0.57,0.71,0.17,-0.33,-0.04
CA_179090,69,1.53,1.74,-0.18,-1.53,-0.31
CA_179935,69,0.46,0.6,0.31,-0.06,0.59
CA_180087,176,1.25,1.39,0.23,-0.96,-2.0
CA_180321,69,0.7,0.89,0.44,0.62,-0.42
CA_180684,69,1.0,1.34,-0.25,0.84,-1.38
CA_180936,69,0.99,1.14,-0.34,-0.77,0.56
CA_181084,69,0.41,0.49,-0.07,0.03,0.31
CA_18177,69,0.64,0.79,0.51,0.6,0.4
CA_181926,69,0.87,1.05,0.37,0.87,-0.89
CA_182086,69,0.62,0.71,0.38,-0.46,-0.21
CA_183602,176,1.05,1.2,0.24,-0.95,-1.31
CA_183828,176,0.61,0.77,0.08,0.27,0.77
CA_184177,76,0.87,1.03,-0.42,-0.29,0.25
CA_18461,69,0.41,0.51,-0.54,0.23,0.95
CA_18496,69,0.77,0.85,0.21,0.77,0.69
CA_185399,47,0.92,1.21,-0.14,0.29,-0.08
CA_186283,75,1.63,2.26,-0.35,1.27,0.4
CA_186870,141,1.46,1.9,-0.19,1.31,-1.59
CA_186949,211,1.06,1.44,-0.54,0.63,-0.7
CA_187438,220,0.83,0.93,-0.54,-0.47,0.74
CA_188163,176,1.25,1.56,-0.17,0.76,0.73
CA_188282,176,1.26,1.65,-0.14,1.03,0.69
CA_189979,61,0.65,0.79,-0.26,-0.04,0.42
CA_192791,36,0.95,1.09,-0.24,0.58,0.76
CA_192944,176,1.06,1.24,-0.13,0.48,0.57
CA_194654,3,4.56,4.6,-0.1,-4.56,-2.54
CA_195055,3,1.28,1.58,-0.02,0.73,0.8
CA_195552,3,0.99,1.2,0.0,-0.16,0.84
CA_196039,3,1.13,1.35,-0.07,-0.14,0.83
CA_196217,3,2.43,2.69,-0.15,2.04,0.39
CA_196350,3,1.0,1.17,0.11,0.01,0.87
CA_197206,36,0.77,0.97,-0.1,-0.6,0.77
CA_197548,47,0.73,0.88,-0.04,0.54,0.67
CA_197684,211,1.61,1.95,-0.19,1.55,0.01
CA_198018,176,1.72,2.15,-0.13,1.62,0.49
CA_198392,61,1.23,1.44,0.39,-1.21,-0.21
CA_199389,75,0.88,1.16,0.52,0.53,0.43
CA_199621,75,1.08,1.47,-0.07,0.81,0.58
CA_199886,75,1.23,1.6,-0.03,0.41,0.8
CA_199904,76,1.21,1.6,-0.2,0.68,0.82
CA_20111,69,0.66,0.77,-0.25,-0.38,0.8
CA_201209,3,1.0,1.25,-0.16,0.29,0.8
CA_202362,47,0.79,0.85,0.28,-0.79,0.9
CA_203481,75,1.06,1.35,-0.49,0.45,0.54
CA_203822,176,0.84,1.03,-0.27,-0.51,-0.73
CA_203945,211,1.75,2.17,0.14,1.58,-1.05
CA_204345,211,0.64,0.76,-0.1,0.36,-0.98
CA_204773,75,1.1,1.44,0.24,0.86,0.27
CA_205074,3,1.04,1.35,-0.01,-0.73,0.51
CA_205669,61,1.06,1.39,0.72,0.65,0.28
CA_206014,47,1.48,1.72,-0.01,1.47,0.28
CA_206280,61,0.99,1.08,-0.78,-0.2,0.69
CA_206394,3,1.22,1.48,-0.09,0.5,0.73
CA_207283,3,1.0,1.35,0.35,0.71,0.83
CA_207336,3,0.9,1.1,-0.04,0.12,0.83
CA_209424,75,0.87,1.16,-0.04,0.05,0.87
CA_209730,75,0.64,0.85,-0.16,0.21,0.85
CA_210797,75,1.15,1.38,-0.22,1.12,0.2
CA_210817,75,0.51,0.65,0.49,-0.14,0.23
CA_210979,75,0.64,0.81,-0.05,0.29,0.64
CA_211137,75,0.93,1.23,0.07,0.5,0.88
CA_211378,76,1.5,1.89,-0.11,1.07,0.75
CA_213142,75,0.88,1.09,-0.37,0.44,0.9
CA_213630,176,1.31,1.46,-0.04,1.1,-0.01
CA_213840,47,1.03,1.08,0.68,1.03,0.51
CA_21410,47,4.97,5.17,0.66,4.97,-2.61
CA_214463,69,1.63,1.75,0.33,1.61,-3.94
CA_214741,69,0.55,0.66,-0.17,0.4,0.64
CA_214914,76,0.74,1.04,-0.45,0.64,0.46
CA_215978,36,0.84,1.19,-0.26,0.54,0.38
CA_216205,176,0.74,0.93,-0.02,-0.11,0.66
CA_216236,36,0.77,0.95,0.85,0.11,0.74
CA_21636,69,0.62,0.73,0.32,0.52,0.35
