field_id,crop,mae,rmse,corr,bias,skill_score
CA_143092,3,4.33,5.67,1.0,-1.17,0.99
CA_143271,3,8.58,10.73,0.99,7.92,0.98
CA_144104,3,29.83,50.61,0.65,-20.67,-1.38
CA_14419,69,4.5,5.8,0.77,3.0,0.51
CA_145027,47,4.83,7.22,0.98,-0.83,0.95
CA_145664,47,5.75,7.25,0.98,-1.42,0.91
CA_146308,67,6.58,9.22,0.99,2.92,0.98
CA_147819,76,34.08,57.28,0.58,-33.42,-1.56
CA_149265,61,9.83,14.45,0.92,5.67,0.74
CA_149305,47,6.92,8.49,0.93,-0.42,0.86
CA_149799,47,14.67,36.19,0.81,-13.0,0.51
CA_150220,36,3.58,5.94,0.99,-0.92,0.97
CA_150456,47,8.42,14.25,0.97,0.92,0.93
CA_150636,36,18.08,31.36,0.89,15.58,0.64
CA_150688,176,6.5,7.96,0.99,-0.17,0.98
CA_151019,36,6.25,8.11,0.98,-0.25,0.97
CA_151516,3,6.58,8.81,0.99,-1.25,0.98
CA_152508,66,12.17,19.78,0.89,8.17,0.75
CA_152516,61,10.42,15.23,0.96,6.25,0.89
CA_152680,72,4.92,6.16,0.99,-3.75,0.97
CA_15309,69,5.42,8.23,0.96,-0.42,0.89
CA_153170,3,39.25,68.46,0.27,38.08,-0.05
CA_153285,3,5.08,6.96,1.0,3.08,0.99
CA_153430,61,5.75,7.93,0.93,0.08,0.81
CA_154042,3,11.08,15.67,0.99,6.92,0.93
CA_154135,67,6.0,10.88,0.96,2.33,0.92
CA_154810,67,7.67,10.79,0.96,1.17,0.92
CA_155363,76,4.33,7.12,0.99,2.67,0.99
CA_155560,211,7.08,9.51,0.95,-2.75,0.84
CA_155889,76,10.0,15.85,0.96,7.17,0.9
CA_156542,47,8.33,12.12,0.94,7.33,0.74
CA_157076,69,7.92,9.67,0.91,4.25,0.79
CA_157772,69,5.92,7.23,0.95,2.25,0.88
CA_158327,69,24.67,39.17,0.64,24.33,0.19
CA_159621,69,6.0,8.49,0.97,4.67,0.91
CA_160028,69,5.58,8.19,0.96,2.92,0.9
CA_160120,69,7.58,9.37,0.93,0.08,0.86
CA_160350,69,7.08,10.16,0.85,4.08,0.69
CA_160405,69,5.58,8.28,0.97,-2.58,0.92
CA_16061,61,5.17,7.79,0.97,0.5,0.93
CA_161125,69,6.67,8.92,0.96,3.33,0.9
CA_163993,69,4.5,5.61,0.98,0.0,0.95
CA_165275,176,5.67,8.94,0.97,-2.67,0.94
CA_165479,176,10.58,14.73,0.93,2.75,0.87
CA_165541,176,5.92,8.87,0.97,3.58,0.92
CA_16602,69,8.33,14.17,0.89,5.0,0.76
CA_166317,176,5.58,10.35,0.96,-1.08,0.92
CA_166718,69,8.5,10.69,0.96,-4.17,0.85
CA_166979,69,9.42,11.63,0.96,-4.25,0.79
CA_167092,69,6.67,7.98,0.96,1.17,0.92
CA_167160,69,13.0,15.74,0.81,-2.67,0.6
CA_168467,69,5.83,7.78,0.98,3.67,0.96
CA_16847,69,7.0,10.99,0.96,-4.5,0.88
CA_169006,69,6.5,9.72,0.97,4.67,0.92
CA_169486,69,6.58,8.99,0.93,-1.75,0.81
CA_170091,69,4.25,6.65,0.97,0.58,0.93
CA_17091,47,8.42,12.11,0.74,3.25,0.48
CA_171395,69,4.5,7.78,0.95,2.67,0.88
CA_171957,69,9.25,11.54,0.96,-4.75,0.81
CA_172607,69,4.33,5.45,0.99,-0.17,0.97
CA_173176,47,6.67,8.43,0.98,2.67,0.94
CA_17368,69,4.5,7.11,0.9,-0.33,0.8
CA_174086,176,13.92,18.37,0.84,-13.92,0.35
CA_174849,176,9.92,13.39,0.98,-7.25,0.92
CA_176041,69,10.92,15.57,0.85,-0.08,0.7
CA_176246,69,10.08,12.0,0.88,4.08,0.73
CA_176261,69,5.92,8.24,0.94,-0.92,0.89
CA_17644,69,8.08,9.57,0.87,1.42,0.68
CA_177425,75,8.5,11.2,0.96,-2.0,0.87
CA_177775,69,5.25,8.06,0.9,-1.08,0.8
CA_178248,69,7.75,11.29,0.81,-1.58,0.61
CA_178552,69,10.42,12.56,0.97,9.58,0.87
CA_178583,69,7.42,10.65,0.96,6.75,0.87
CA_179090,69,5.17,6.48,0.96,-0.67,0.91
CA_179935,69,7.42,10.47,0.88,0.42,0.74
CA_180087,176,7.58,10.11,0.96,0.75,0.92
CA_180321,69,6.17,8.76,0.96,3.67,0.91
CA_180684,69,6.17,8.05,0.97,-1.17,0.93
CA_180936,69,8.08,9.84,0.96,4.25,0.9
CA_181084,69,4.25,5.11,0.99,-1.92,0.98
CA_18177,69,8.0,12.5,0.87,3.67,0.74
CA_181926,69,6.92,9.16,0.96,-3.75,0.83
CA_182086,69,11.58,13.75,0.98,11.58,0.84
CA_183602,176,8.25,11.35,0.97,-2.75,0.94
CA_183828,176,9.08,12.46,0.98,1.75,0.94
