field_id,crop,mae,rmse,corr,bias,skill_score
CA_199621,75,2.04,3.3,0.97,0.93,0.93
CA_199886,75,2.07,3.35,0.98,-0.01,0.95
CA_199904,76,2.54,4.23,0.97,-0.91,0.94
CA_20111,69,1.32,1.91,0.94,0.07,0.88
CA_201209,3,2.52,4.02,0.98,-0.54,0.93
CA_202362,47,3.98,6.71,0.56,2.84,0.16
CA_203481,75,2.01,3.23,0.98,-0.67,0.94
CA_203822,176,2.11,3.6,0.94,0.87,0.88
CA_203945,211,2.51,4.43,0.92,-1.88,0.4
CA_204345,211,1.3,2.23,0.97,-0.31,0.94
CA_204773,75,2.87,5.18,0.9,2.55,0.73
CA_205074,3,2.21,3.63,0.97,-0.54,0.95
CA_205669,61,2.23,3.41,0.93,-0.29,0.83
CA_206014,47,3.65,6.02,0.9,2.48,0.76
CA_206280,61,1.91,3.4,0.87,0.03,0.73
CA_206394,3,10.97,18.25,0.3,10.77,0.06
CA_207283,3,11.46,19.63,0.27,11.39,-0.02
CA_207336,3,13.05,20.48,0.21,13.05,-0.01
CA_209424,75,2.16,3.55,0.98,-0.78,0.96
CA_209730,75,1.6,2.69,0.98,0.15,0.96
CA_210797,75,3.42,5.66,0.89,3.06,0.72
CA_210817,75,1.83,3.11,0.94,0.47,0.87
CA_210979,75,1.63,2.62,0.98,-0.38,0.94
CA_211137,75,2.18,3.55,0.98,-0.59,0.96
CA_211378,76,3.06,4.83,0.97,-1.23,0.92
CA_213142,75,2.04,3.17,0.98,-0.31,0.96
CA_213630,176,2.45,4.7,0.9,0.44,0.81
CA_213840,47,1.62,2.53,0.94,1.34,0.8
CA_21410,47,1.71,2.62,0.44,0.03,0.19
CA_214463,69,2.27,3.72,0.9,0.08,0.8
CA_214741,69,2.01,3.39,0.9,-1.64,0.69
CA_214914,76,2.05,3.68,0.87,-1.78,0.6
CA_215978,36,2.73,4.47,0.93,0.25,0.86
CA_216205,176,2.92,4.71,0.96,-1.98,0.87
CA_216236,36,4.42,7.89,0.83,-0.59,0.65
CA_21636,69,1.54,2.97,0.91,-0.57,0.82
CA_216615,176,2.17,3.58,0.96,-0.77,0.91
CA_21795,69,2.09,3.34,0.89,0.57,0.77
